year,population
1900,7.62122e7
1901,7.7584e7
1902,7.9163e7
1903,8.063199999999999e7
1904,8.2166e7
1905,8.3822e7
1906,8.545e7
1907,8.7008e7
1908,8.871e7
1909,9.049e7
1910,9.22285e7
1911,9.3863e7
1912,9.5335e7
1913,9.7225e7
1914,9.911099999999999e7
1915,1.0054599999999999e8
1916,1.01961e8
1917,1.03268e8
1918,1.03208e8
1919,1.04514e8
1920,1.0602159999999999e8
1921,1.08538e8
1922,1.1004899999999999e8
1923,1.1194699999999999e8
1924,1.14109e8
1925,1.15829e8
1926,1.1739699999999999e8
1927,1.19035e8
1928,1.20509e8
1929,1.2177e8
1930,1.232027e8
1931,1.24149e8
1932,1.24949e8
1933,1.2569e8
1934,1.26485e8
1935,1.27362e8
1936,1.2818099999999999e8
1937,1.2896099999999999e8
1938,1.29969e8
1939,1.3102799999999999e8
1940,1.321651e8
1941,1.3340199999999999e8
1942,1.3486e8
1943,1.36739e8
1944,1.38397e8
1945,1.39928e8
1946,1.4138899999999997e8
1947,1.44126e8
1948,1.46631e8
1949,1.49188e8
1950,1.513258e8
1951,1.54287e8
1952,1.5695399999999997e8
1953,1.59565e8
1954,1.62391e8
1955,1.65275e8
1956,1.68221e8
1957,1.71274e8
1958,1.74141e8
1959,1.7707299999999997e8
1960,1.793232e8
1961,1.83691e8
1962,1.8653799999999997e8
1963,1.89242e8
1964,1.9188899999999997e8
1965,1.94303e8
1966,1.9656e8
1967,1.98712e8
1968,2.00706e8
1969,2.02677e8
1970,2.0951334e8
1971,2.11384079e8
1972,2.13269805e8
1973,2.15178797e8
1974,2.1711489799999997e8
1975,2.1908124999999997e8
1976,2.21086427e8
1977,2.23135659e8
1978,2.2522330699999997e8
1979,2.2733932099999997e8
1980,2.2947636e8
1981,2.31636065e8
1982,2.3382185099999997e8
1983,2.36030236e8
1984,2.38256849e8
1985,2.40499822e8
1986,2.42763137e8
1987,2.4505277999999997e8
1988,2.47372258e8
1989,2.49725809e8
1990,2.52120309e8
1991,2.54539371e8
1992,2.56990608e8
1993,2.5953213e8
1994,2.6224120399999997e8
1995,2.6516374100000003e8
1996,2.6833500800000003e8
1997,2.71713634e8
1998,2.7517530899999994e8
1999,2.7854814799999994e8
2000,2.81710914e8
2001,2.8460799199999994e8
2002,2.87279312e8
2003,2.89815567e8
2004,2.9235466299999994e8
2005,2.9499350899999994e8
2006,2.9775897699999994e8
2007,3.00608425e8
2008,3.03486022e8
2009,3.06307565e8
2010,3.09011469e8
2011,3.11584051e8
2012,3.14043885e8
2013,3.16400539e8
2014,3.1867342199999994e8
2015,3.20878312e8
2016,3.23015992e8
2017,3.2508475799999994e8
2018,3.2709626299999994e8
2019,3.29064917e8
2020,3.31449281e8
