,Bangus,Big Head Carp,Black Spotted Barb,Catfish,Climbing Perch,Fourfinger Threadfin,Freshwater Eel,Glass Perchlet,Goby,Gold Fish,Gourami,Grass Carp,Green Spotted Puffer,Indian Carp,Indo-Pacific Tarpon,Jaguar Gapote,Janitor Fish,Knifefish,Long-Snouted Pipefish,Mosquito Fish,Mudfish,Mullet,Pangasius,Perch,Scat Fish,Silver Barb,Silver Carp,Silver Perch,Snakehead,Tenpounder,Tilapia
Bangus,30,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Big Head Carp,1,38,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Black Spotted Barb,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catfish,0,1,0,56,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0
Climbing Perch,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fourfinger Threadfin,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freshwater Eel,0,0,0,1,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Glass Perchlet,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Goby,0,0,0,0,0,0,1,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gold Fish,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gourami,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grass Carp,0,0,0,0,0,0,0,0,0,0,0,230,0,4,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0
Green Spotted Puffer,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian Carp,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Indo-Pacific Tarpon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Jaguar Gapote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Janitor Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knifefish,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
Long-Snouted Pipefish,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
Mosquito Fish,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,46,0,1,0,0,0,0,0,0,0,0,0
Mudfish,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0
Mullet,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
Pangasius,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,1,0
Perch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,1,0,1,0,1,0
Scat Fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
Silver Barb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,62,0,0,0,0,0
Silver Carp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0
Silver Perch,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
Snakehead,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,41,0,0
Tenpounder,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,47,0
Tilapia,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,53
