Agent-territory.wav|The state agent quickly marked out his territory on the dance floor.
Bird-Bicycle.wav|He didn't understand why the bird wanted to ride the Bicycle.
Candy bars.wav|His son quipped that powerbars were nothing more than adult candy bars.
Carpet seller.wav|I'm worried by the fact that my daughter looks to the local carpet seller as a role model.
Checked alive.wav|I checked to make sure that he was still alive.
Comforters bedspreads.wav|The changing of down comforters to cotton bedspreads always meant that squirrels had returned.
Corner time.wav|They ran around the corner to find that they had traveled back in time.
Dynamite fish.wav|He figured a few sticks of dynamite were easier than a fishing pole to catch fish.
Fine Spirit.wav|I recieved a heavy fine but it failed to crush my spirit.
Fowl turtle.wav|The guinea fowl flies through the air with all the grace of a turtle.
Frisbee wheels.wav|There is a growing trend among teenagers of using frisbees as go cart wheels.
Instruction rabbits.wav|Written warnings in instruction manuals are worthless since rabbits can't read.
Introvert extrovert.wav|He was an introvert that extroverts seem to love.
Jelly Roof.wav|Grape Jelly was leaking out the hole in the roof.
Motorists Transplant.wav|When motorists sped in and out of traffic all she could think of was those in need of a transplant.
Museum better.wav|She looked at the masterpiece hanging in the museum but all she could think was that her 5 year old could do better.
Music Expierence.wav|At that moment he wasn't listening to music he was living an expierence.
News nobody.wav|She had some amazing news to share but nobody to share it with.
One day.wav|He kept telling himself that one day it would all some how make sense.
Paranoid paranoid.wav|He had reached the point where he was paranoid about being paranoid.
Roasting-prey.wav|My biggest joy is roasting almonds while stalking prey.
Rock-velocity.wav|Rock music approaches at high velocity.
Seats vacant.wav|Two seats were vacant.
Sign language.wav|When she didn't like a guy who was trying to pick her up she started using sign language.
Starfish-drawer.wav|There are over 500 starfish in the bathroom drawer.
Time-clocks.wav|I often see the time 11:11 or 12:34 on clocks.
Win cheating.wav|Sometimes you have to just give up and win by cheating.
Wisdom saucepan.wav|Wisdom is easily aquired when hiding under the bed with a saucepan on your head.
